coder1,coder2,coder3,coder4,coder5,coder6,coder7,coder8,coder9,coder10,coder11,coder12
0,11,11,11,0,0,0,0,11,0,11,11
3,18,6,11,3,3,18,3,18,3,3,11
11,18,6,11,0,18,18,0,11,10,11,18
11,18,11,14,11,10,11,11,11,11,11,18
0,18,11,11,0,3,18,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,0,0,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,0,11,11
11,11,11,11,0,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
1,11,11,3,11,11,11,11,11,11,11,11
11,11,11,11,11,1,11,11,11,11,11,11
11,18,11,3,11,14,11,11,11,11,11,11
11,11,11,11,11,3,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11
11,11,3,3,0,11,14,14,14,3,11,11
11,14,3,11,0,11,14,14,14,3,11,11
11,18,11,11,18,18,18,0,11,3,0,3
11,18,11,0,0,18,18,0,11,0,0,3
3,6,11,3,3,3,,3,3,11,11,3
3,3,11,11,3,18,,3,18,3,0,3
11,3,11,3,0,18,18,11,11,0,3,3
11,3,11,3,0,3,18,3,18,0,3,3
18,18,18,3,3,18,18,3,18,3,3,3
3,18,11,11,11,3,18,11,18,11,11,3
3,3,11,3,3,3,11,3,18,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
0,3,3,0,0,3,3,0,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,11,3,3,3,3,3,3,3
14,14,14,0,14,14,14,14,3,14,14,14
14,14,14,3,14,18,14,18,3,14,14,14
7,14,14,5,14,14,14,14,15,14,14,14
11,14,14,11,11,14,14,15,15,14,14,14
2,2,2,2,2,2,2,2,2,14,2,2
2,2,2,11,2,2,2,2,2,14,2,2
2,2,2,2,2,2,2,2,2,14,2,2
2,2,2,11,0,2,2,2,11,14,11,2
2,2,2,3,2,14,2,2,3,14,14,2
14,14,14,3,14,14,14,14,3,14,11,2
14,13,18,3,2,14,13,18,15,14,13,14
14,13,14,14,14,14,14,2,3,14,14,14
14,14,3,14,14,14,14,14,15,14,14,14
14,14,3,0,0,14,14,14,11,14,14,14
14,14,3,14,14,14,14,14,15,14,14,14
14,18,18,14,14,14,14,14,18,14,14,14
14,14,18,14,3,14,14,14,3,14,14,7
7,7,17,2,7,7,,7,7,2,7,7
17,17,17,12,17,17,,12,17,17,17,17
17,17,17,12,17,17,17,12,17,17,17,17
17,17,17,0,17,17,17,17,17,17,17,17
13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,,13,13,13,13,13
19,19,19,13,19,19,19,13,19,14,19,19
19,19,6,6,19,19,19,13,19,14,19,19
19,19,19,19,19,19,19,19,19,19,19,19
14,14,18,14,14,14,14,14,19,19,14,14
18,18,18,14,18,18,18,18,18,18,18,18
18,18,18,14,0,18,18,18,18,18,18,18
18,18,18,14,0,18,18,18,18,18,18,18
18,18,18,14,18,18,18,18,18,18,18,18
11,18,18,0,18,11,18,11,18,18,18,18
18,18,18,14,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,3,3
11,18,18,11,18,3,,18,3,18,1,3
1,18,1,1,18,1,1,18,18,1,1,3
18,18,18,18,18,18,18,18,18,18,1,3
14,14,14,3,18,18,18,14,18,14,18,3
0,18,18,18,18,18,18,0,18,18,18,11
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,18,4,4,4,4,4,4,4
0,4,4,0,18,4,4,0,4,4,4,4
3,18,18,11,18,18,18,18,18,18,18,3
18,18,18,11,18,18,18,18,18,18,1,11
3,18,14,11,0,18,18,18,18,18,1,11
14,18,14,14,0,18,18,18,11,15,1,11
12,12,18,12,18,12,14,12,12,18,12,12
12,12,18,0,18,12,14,12,12,12,12,12
1,12,12,12,1,12,12,12,12,12,12,12
8,8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8
15,15,15,15,15,15,15,15,15,18,15,14
15,15,14,15,15,15,14,14,15,14,15,14
15,15,14,11,15,15,14,14,15,14,15,14
15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,11,15,15,15,15,15,15,15,15
11,11,15,11,11,11,15,15,11,15,11,15
11,11,15,11,11,11,15,15,11,15,11,15
0,11,15,11,11,11,15,15,11,15,11,15
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,9,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,6,6,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,0,10,10,10,10,10,10,10
9,9,9,9,10,9,,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
8,9,9,18,9,9,9,9,9,9,9,9
9,9,13,17,13,13,2,13,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
10,10,10,10,10,10,,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
15,10,10,10,10,10,15,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
11,11,11,6,0,11,11,0,11,0,11,6
6,6,6,6,6,6,6,11,6,6,6,6
0,11,6,6,6,11,6,11,11,6,6,6
0,11,6,6,0,11,6,11,11,6,11,6
6,6,6,6,6,11,6,11,6,6,11,6
11,11,6,11,11,11,11,11,11,6,11,6
15,15,6,18,18,15,15,15,15,6,15,6
10,10,6,10,10,10,10,11,10,10,10,6
10,9,6,9,9,9,9,9,9,9,9,6
11,11,6,11,10,11,10,10,10,10,10,6
6,6,6,6,6,6,6,6,6,6,6,6
0,6,6,11,6,3,3,0,6,3,0,6
11,11,6,,0,6,6,6,11,0,11,6
6,6,6,6,0,6,6,6,6,6,6,6
0,6,6,6,11,6,6,6,6,6,0,6
6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6
3,3,6,3,3,3,11,3,11,3,11,6
6,6,6,6,6,3,6,6,6,3,11,6
1,1,6,1,1,1,1,1,1,3,11,6
11,11,3,3,3,3,11,11,11,3,0,11
6,11,11,11,0,6,11,11,11,3,11,11
3,3,11,3,3,3,3,3,3,3,3,11
6,11,11,11,11,6,11,11,11,3,11,11
0,11,11,11,11,3,11,11,11,3,11,11
0,11,11,11,11,6,11,11,11,3,11,11
0,11,11,11,0,3,0,0,11,3,0,11
0,11,11,0,0,18,11,0,11,18,0,11
18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,3,18,18,18,18,18,18,18,18
18,18,18,3,18,18,18,18,18,18,11,18
18,18,18,3,18,18,18,18,18,18,18,18
18,18,18,3,18,18,18,18,11,18,0,18
3,18,18,3,18,3,18,3,18,3,3,18
